date,reliance_open,reliance_high,reliance_low,reliance_close,reliance_volume,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume,reliance_return,nifty_return
2021-06-29,950.7476377872767,959.6203929887992,948.2906059997632,949.9741211,27144063,15807.5,15835.90039,15724.0498,15748.4502,360300,0.0008629050998212318,-0.004189140430243543
2021-06-30,953.8189497184268,965.8312654969786,951.4529057551116,960.3711547851562,19762858,15776.90039,15839.09961,15708.75,15721.5,262400,0.010944544124125377,-0.0017112922006763398
2021-07-01,963.7154392931002,966.058736162284,953.2501575281796,954.5924682617188,12534407,15755.0498,15755.5498,15667.0498,15680.0,224900,-0.006017138784983889,-0.002639697229908089
2021-07-02,954.1602048328318,970.4951632609226,952.3174009,968.7433471679688,14086620,15705.84961,15738.34961,15635.9502,15722.2002,254800,0.01482400016419394,0.0026913392857141893
2021-07-05,972.1104477919256,979.891168748786,969.8581385815544,978.3668823242188,11702287,15793.40039,15845.9502,15762.0498,15834.34961,207000,0.009934039995612265,0.007133188012705682
2021-07-06,975.9780960314432,977.7753459,964.7165499262376,966.8095703,10070124,15813.75,15914.2002,15801.0,15818.25,391400,-0.011812861037122424,-0.0010167522125337225
2021-07-07,968.1518891821572,968.1518891821572,954.6152867923088,960.0981445,10454892,15819.59961,15893.5498,15779.7002,15879.65039,329300,-0.006941828056085009,0.0038816171194664406
2021-07-08,963.2376503194928,963.2376503194928,946.8799465079012,952.1580810546876,11185460,15855.40039,15885.75,15682.90039,15727.90039,307900,-0.00827005394271163,-0.009556255728121243
2021-07-09,950.0650773140198,951.7486525291566,940.1003484340648,942.4208984,9037675,15688.25,15730.84961,15632.75,15689.7998,243200,-0.010226434925492467,-0.002422484187668439
2021-07-12,946.3111816946794,956.2077294,943.9223909587708,948.2905273,8585292,15766.7998,15789.2002,15644.75,15692.59961,216300,0.00622824569145819,0.00017844778363573788
2021-07-13,955.5252146,956.9130192420056,950.087790995972,955.3887329101562,6717133,15794.0,15820.7998,15744.59961,15812.34961,246700,0.007485264700857419,0.00763098549482466
2021-07-14,955.6844881859736,958.6420731903104,946.9937689554592,949.1550903320312,8532544,15808.7002,15877.34961,15764.2002,15853.9502,0,-0.006524718539580254,0.0026308923737488055
2021-07-15,953.2502049164672,953.2502049164672,945.7425076403308,947.4943237304688,9448356,15872.15039,15952.34961,15855.0,15924.2002,284900,-0.0017497315438529393,0.004431072326693597
2021-07-16,949.9513673,962.2367066615388,949.8831264283724,961.1674194335938,8828185,15958.34961,15962.25,15882.59961,15923.40039,276300,0.014430794317892515,-5.022607038052129e-05
2021-07-19,955.5252315,966.4455126172754,951.9989126340372,955.0474853515624,8354449,15754.5,15836.90039,15707.5,15752.40039,242100,-0.006367188440113525,-0.010738912280783275
2021-07-20,955.2977362314512,959.1653798198788,948.245098287798,952.7041625976562,6741464,15703.9502,15728.4502,15578.5498,15632.09961,274300,-0.002453619102555482,-0.007636980842384622
2021-07-22,964.1704530749702,966.4000152300578,954.6834705,964.9439697265624,7972397,15736.59961,15834.7998,15726.40039,15824.0498,265300,0.012847437441160015,0.012279232783113159
2021-07-23,971.2003764,971.2003764,956.4579462312084,958.1187744140624,9937030,15856.7998,15899.7998,15768.40039,15856.0498,294100,-0.00707315194107494,0.0020222383273844624
2021-07-26,959.1653356602168,965.0804452589716,942.3753787545852,944.9916992,12389668,15849.2998,15893.34961,15797.0,15824.4502,267100,-0.013700885072511215,-0.0019929049415574607
2021-07-27,944.9689160871274,948.1084764530684,929.1345122097594,935.0496215820312,10824523,15860.5,15881.5498,15701.0,15746.4502,311000,-0.010520809469951264,-0.004929081201190844
