Date,Open,High,Low,Close,Volume
21-02-2024,22248.84961,22249.40039,21997.94922,22055.05078,364500
22-02-2024,22081.55078,22252.5,21875.25,22217.44922,343500
23-02-2024,22290,22297.5,22186.09961,22212.69922,226000
26-02-2024,22169.19922,22202.15039,22075.15039,22122.05078,207800
27-02-2024,22090.19922,22218.25,22085.65039,22198.34961,252200
28-02-2024,22214.09961,22229.15039,21915.84961,21951.15039,203000
29-02-2024,21935.19922,22060.55078,21860.65039,21982.80078,360200
01-03-2024,22048.30078,22353.30078,22047.75,22338.75,351500
04-03-2024,22403.5,22440.90039,22358.30078,22405.59961,298800
05-03-2024,22371.25,22416.90039,22269.15039,22356.30078,296200
06-03-2024,22327.5,22497.19922,22224.34961,22474.05078,312300
07-03-2024,22505.30078,22525.65039,22430,22493.55078,379900
11-03-2024,22517.5,22526.59961,22307.25,22332.65039,277900
12-03-2024,22334.44922,22452.55078,22256,22335.69922,299200
13-03-2024,22432.19922,22446.75,21905.65039,21997.69922,493300
14-03-2024,21982.55078,22204.59961,21917.5,22146.65039,426700
15-03-2024,22064.84961,22120.90039,21931.69922,22023.34961,661500
18-03-2024,21990.09961,22123.69922,21916.55078,22055.69922,356300
19-03-2024,21946.44922,21978.30078,21793.09961,21817.44922,344200
20-03-2024,21843.90039,21930.90039,21710.19922,21839.09961,312400
21-03-2024,21989.90039,22080.94922,21941.30078,22011.94922,353200
22-03-2024,21932.19922,22180.69922,21883.30078,22096.75,388700
26-03-2024,21947.90039,22073.19922,21947.55078,22004.69922,328400
27-03-2024,22053.94922,22193.59961,22052.84961,22123.65039,409100
28-03-2024,22163.59961,22516,22163.59961,22326.90039,410500
01-04-2024,22455,22529.94922,22427.75,22462,0
02-04-2024,22458.80078,22497.59961,22388.15039,22453.30078,289500
03-04-2024,22385.69922,22521.09961,22346.5,22434.65039,309600
04-04-2024,22592.09961,22619,22303.80078,22514.65039,401000
05-04-2024,22486.40039,22537.59961,22427.59961,22513.69922,242200
08-04-2024,22578.34961,22697.30078,22550.34961,22666.30078,227600
09-04-2024,22765.09961,22768.40039,22612.25,22642.75,232400
10-04-2024,22720.25,22775.69922,22673.69922,22753.80078,276800
12-04-2024,22677.40039,22726.44922,22503.75,22519.40039,357200
15-04-2024,22339.05078,22427.44922,22259.55078,22272.5,355500
16-04-2024,22125.30078,22213.75,22079.44922,22147.90039,317300
18-04-2024,22212.34961,22326.5,21961.69922,21995.84961,456900
19-04-2024,21861.5,22179.55078,21777.65039,22147,362500
22-04-2024,22336.90039,22375.65039,22198.15039,22336.40039,279300
23-04-2024,22447.05078,22447.55078,22349.44922,22368,231500
24-04-2024,22421.55078,22476.44922,22384,22402.40039,235900
25-04-2024,22316.90039,22625.94922,22305.25,22570.34961,475000
26-04-2024,22620.40039,22620.40039,22385.55078,22419.94922,329900
29-04-2024,22475.55078,22655.80078,22441.90039,22643.40039,292000
30-04-2024,22679.65039,22783.34961,22568.40039,22604.84961,361900
02-05-2024,22567.84961,22710.5,22567.84961,22648.19922,445900
03-05-2024,22766.34961,22794.69922,22348.05078,22475.84961,438100
06-05-2024,22561.59961,22588.80078,22409.44922,22442.69922,320300
07-05-2024,22489.75,22499.05078,22232.05078,22302.5,297800
08-05-2024,22231.19922,22368.65039,22185.19922,22302.5,277400
09-05-2024,22224.80078,22307.75,21932.40039,21957.5,331300
10-05-2024,21990.94922,22131.30078,21950.30078,22055.19922,265800
13-05-2024,22027.94922,22131.65039,21821.05078,22104.05078,278200
14-05-2024,22112.90039,22270.05078,22081.25,22217.84961,230200
15-05-2024,22255.59961,22297.55078,22151.75,22200.55078,231900
16-05-2024,22319.19922,22432.25,22054.55078,22403.84961,368900
17-05-2024,22415.25,22502.15039,22345.65039,22466.09961,242700
21-05-2024,22404.55078,22591.09961,22404.55078,22529.05078,347600
22-05-2024,22576.59961,22629.5,22483.15039,22597.80078,290300
23-05-2024,22614.09961,22993.59961,22577.44922,22967.65039,369800
24-05-2024,22930.75,23026.40039,22908,22957.09961,261900
27-05-2024,23038.94922,23110.80078,22871.19922,22932.44922,260000
28-05-2024,22977.15039,22998.55078,22858.5,22888.15039,217900
29-05-2024,22762.75,22825.5,22685.44922,22704.69922,269900
30-05-2024,22617.44922,22705.75,22417,22488.65039,373400
31-05-2024,22568.09961,22653.75,22465.09961,22530.69922,572100
03-06-2024,23337.90039,23338.69922,23062.30078,23263.90039,569400
04-06-2024,23179.5,23179.5,21281.44922,21884.5,1006100
05-06-2024,22128.34961,22670.40039,21791.94922,22620.34961,638500
06-06-2024,22798.59961,22910.15039,22642.59961,22821.40039,480400
07-06-2024,22821.84961,23320.19922,22789.05078,23290.15039,473600
10-06-2024,23319.15039,23411.90039,23227.15039,23259.19922,304400
11-06-2024,23283.75,23389.44922,23206.65039,23264.84961,305200
12-06-2024,23344.44922,23441.94922,23295.94922,23322.94922,295600
13-06-2024,23480.94922,23481.05078,23353.90039,23398.90039,268300
14-06-2024,23464.94922,23490.40039,23334.25,23465.59961,223100
18-06-2024,23570.80078,23579.05078,23499.69922,23557.90039,272200
19-06-2024,23629.84961,23664,23412.90039,23516,328800
20-06-2024,23586.15039,23624,23442.59961,23567,280300
21-06-2024,23661.15039,23667.09961,23398.19922,23501.09961,609900
24-06-2024,23382.30078,23558.09961,23350,23537.84961,239400
25-06-2024,23577.09961,23754.15039,23562.05078,23721.30078,298100
26-06-2024,23723.09961,23889.90039,23670.44922,23868.80078,287800
27-06-2024,23881.55078,24087.44922,23805.40039,24044.5,515200
28-06-2024,24085.90039,24174,23985.80078,24010.59961,354800
01-07-2024,23992.94922,24164,23992.69922,24141.94922,0
02-07-2024,24228.75,24236.34961,24056.40039,24123.84961,0
03-07-2024,24291.75,24309.15039,24207.09961,24286.5,0
04-07-2024,24369.94922,24401,24281,24302.15039,251200
05-07-2024,24213.34961,24363,24168.84961,24323.84961,298400
08-07-2024,24329.44922,24344.59961,24240.55078,24320.55078,266300
09-07-2024,24351,24443.59961,24331.90039,24433.19922,250500
10-07-2024,24459.84961,24461.05078,24141.80078,24324.44922,292300
11-07-2024,24396.55078,24402.65039,24193.75,24315.94922,306400
12-07-2024,24387.94922,24592.19922,24331.15039,24502.15039,325800
15-07-2024,24587.59961,24635.05078,24522.75,24586.69922,305400
16-07-2024,24615.90039,24661.25,24587.65039,24613,283200
18-07-2024,24543.80078,24837.75,24504.44922,24800.84961,350900
19-07-2024,24853.80078,24854.80078,24508.15039,24530.90039,343800
22-07-2024,24445.75,24595.19922,24362.30078,24509.25,324200
23-07-2024,24568.90039,24582.55078,24074.19922,24479.05078,436400
24-07-2024,24444.94922,24504.25,24307.25,24413.5,366600
25-07-2024,24230.94922,24426.15039,24210.80078,24406.09961,391800
26-07-2024,24423.34961,24861.15039,24410.90039,24834.84961,383800
29-07-2024,24943.30078,24999.75,24774.59961,24836.09961,355000
30-07-2024,24839.40039,24971.75,24798.65039,24857.30078,385000
31-07-2024,24886.69922,24984.59961,24856.5,24951.15039,333600
01-08-2024,25030.94922,25078.30078,24956.40039,25010.90039,431300
02-08-2024,24789,24851.90039,24686.84961,24717.69922,345000
05-08-2024,24302.84961,24350.05078,23893.69922,24055.59961,487000
06-08-2024,24189.84961,24382.59961,23960.40039,23992.55078,312300
07-08-2024,24289.40039,24337.69922,24184.90039,24297.5,317600
08-08-2024,24248.55078,24340.5,24079.69922,24117,311900
09-08-2024,24386.84961,24419.75,24311.19922,24367.5,215100
12-08-2024,24320.05078,24472.80078,24212.09961,24347,279900
13-08-2024,24342.34961,24359.94922,24116.5,24139,239700
14-08-2024,24184.40039,24196.5,24099.69922,24143.75,303300
16-08-2024,24334.84961,24563.90039,24204.5,24541.15039,271600
19-08-2024,24636.34961,24638.80078,24522.94922,24572.65039,243600
20-08-2024,24648.90039,24734.30078,24607.19922,24698.84961,238300
21-08-2024,24680.55078,24787.94922,24654.5,24770.19922,257100
22-08-2024,24863.40039,24867.34961,24784.44922,24811.5,220300
23-08-2024,24845.40039,24858.40039,24771.65039,24823.15039,206800
26-08-2024,24906.09961,25043.80078,24874.69922,25010.59961,210300
27-08-2024,25024.80078,25073.09961,24973.65039,25017.75,223300
28-08-2024,25030.80078,25129.59961,24964.65039,25052.34961,220400
29-08-2024,25035.30078,25192.90039,24998.5,25151.94922,354000
30-08-2024,25249.69922,25268.34961,25199.40039,25235.90039,638200
02-09-2024,25333.59961,25333.65039,25235.5,25278.69922,222800
03-09-2024,25313.40039,25321.69922,25235.80078,25279.84961,212100
04-09-2024,25089.94922,25216,25083.80078,25198.69922,253800
05-09-2024,25250.5,25275.44922,25127.75,25145.09961,222200
06-09-2024,25093.69922,25168.75,24801.30078,24852.15039,311700
09-09-2024,24823.40039,24957.5,24753.15039,24936.40039,254400
10-09-2024,24999.40039,25130.5,24896.80078,25041.09961,251300
11-09-2024,25034,25113.69922,24885.15039,24918.44922,279200
12-09-2024,25059.65039,25433.34961,24941.44922,25388.90039,380100
13-09-2024,25430.44922,25430.5,25292.44922,25356.5,250800
16-09-2024,25406.65039,25445.69922,25336.19922,25383.75,168700
17-09-2024,25416.90039,25441.65039,25352.25,25418.55078,216000
18-09-2024,25402.40039,25482.19922,25285.55078,25377.55078,215700
19-09-2024,25487.05078,25611.94922,25376.05078,25415.80078,314500
20-09-2024,25525.94922,25849.25,25426.59961,25790.94922,533100
23-09-2024,25872.55078,25956,25847.34961,25939.05078,209200
24-09-2024,25921.44922,26011.55078,25886.84961,25940.40039,384100
25-09-2024,25899.44922,26032.80078,25871.34961,26004.15039,278500
26-09-2024,26005.40039,26250.90039,25998.40039,26216.05078,370900
27-09-2024,26248.25,26277.34961,26151.40039,26178.94922,490300
30-09-2024,26061.30078,26134.69922,25794.09961,25810.84961,343100
01-10-2024,25788.44922,25907.59961,25739.19922,25796.90039,247400
03-10-2024,25452.84961,25639.44922,25230.30078,25250.09961,423400
04-10-2024,25181.90039,25485.05078,24966.80078,25014.59961,374900
07-10-2024,25084.09961,25143,24694.34961,24795.75,374300
08-10-2024,24832.19922,25044,24756.80078,25013.15039,333200
09-10-2024,25065.80078,25234.05078,24947.69922,24981.94922,290600
10-10-2024,25067.05078,25134.05078,24979.40039,24998.44922,261400
11-10-2024,24985.30078,25028.65039,24920.05078,24964.25,210500
14-10-2024,25023.44922,25159.75,25017.5,25127.94922,206400
15-10-2024,25186.30078,25212.05078,25008.15039,25057.34961,257200
16-10-2024,25008.55078,25093.40039,24908.44922,24971.30078,226800
17-10-2024,25027.40039,25029.5,24728.90039,24749.84961,252800
18-10-2024,24664.94922,24886.19922,24567.65039,24854.05078,290900
21-10-2024,24956.15039,24978.30078,24679.59961,24781.09961,242000
22-10-2024,24798.65039,24882,24445.80078,24472.09961,279500
23-10-2024,24378.15039,24604.25,24378.09961,24435.5,284600
24-10-2024,24412.69922,24480.65039,24341.19922,24399.40039,216700
25-10-2024,24418.05078,24440.25,24073.90039,24180.80078,372600
28-10-2024,24251.09961,24492.59961,24134.90039,24339.15039,278600
29-10-2024,24328.84961,24484.5,24140.84961,24466.84961,332000
30-10-2024,24371.44922,24498.19922,24307.30078,24340.84961,285200
31-10-2024,24349.84961,24372.44922,24172.59961,24205.34961,287000
01-11-2024,24302.75,24368.25,24280.19922,24304.34961,38800
04-11-2024,24315.75,24316.75,23816.15039,23995.34961,285500
05-11-2024,23916.5,24229.05078,23842.75,24213.30078,289500
06-11-2024,24308.75,24537.59961,24204.05078,24484.05078,351100
07-11-2024,24489.59961,24503.34961,24179.05078,24199.34961,322200
08-11-2024,24207.69922,24276.15039,24066.65039,24148.19922,298700
11-11-2024,24087.25,24336.80078,24004.59961,24141.30078,273400
12-11-2024,24225.80078,24242,23839.15039,23883.44922,255800
13-11-2024,23822.44922,23873.59961,23509.59961,23559.05078,304600
14-11-2024,23542.15039,23675.90039,23484.15039,23532.69922,257700
18-11-2024,23605.30078,23606.80078,23350.40039,23453.80078,263300
19-11-2024,23529.55078,23780.65039,23464.80078,23518.5,297500
21-11-2024,23488.44922,23507.30078,23263.15039,23349.90039,420300
22-11-2024,23411.80078,23956.09961,23359,23907.25,367600
25-11-2024,24253.55078,24351.55078,24135.44922,24221.90039,687200
26-11-2024,24343.30078,24343.30078,24125.40039,24194.5,230700
27-11-2024,24204.80078,24354.55078,24145.65039,24274.90039,295000
28-11-2024,24274.15039,24345.75,23873.34961,23914.15039,366700
29-11-2024,23927.15039,24188.44922,23927.15039,24131.09961,282100
02-12-2024,24140.84961,24301.69922,24008.65039,24276.05078,220400
03-12-2024,24367.5,24481.34961,24280,24457.15039,339500
04-12-2024,24488.75,24573.19922,24366.30078,24467.44922,348000
05-12-2024,24539.15039,24857.75,24295.55078,24708.40039,361500
06-12-2024,24729.44922,24751.05078,24620.5,24677.80078,226700
09-12-2024,24633.90039,24705,24580.05078,24619,248100
10-12-2024,24652.65039,24677.80078,24510.65039,24610.05078,261000
11-12-2024,24620.5,24691.75,24583.84961,24641.80078,187300
12-12-2024,24604.44922,24675.25,24527.94922,24548.69922,266100
13-12-2024,24498.34961,24792.30078,24180.80078,24768.30078,310100
